,playerID,yearID,teamID,G,AB,R,H,RBI,BB,HBP,BA,OBP,batter,WH,AB_1-9,IABA,team
95,bradlja02,2015,BOS,74,221,43,55,43.0,27,3.0,0.248868778280543,0.3386454183266932,598265,291.0,215,1.3534883720930233,BOS
96,bradlja02,2016,BOS,156,558,94,149,87.0,63,10.0,0.2670250896057348,0.3518225039619651,598265,727.0,563,1.2912966252220248,BOS
97,bradlja02,2017,BOS,133,482,58,118,63.0,48,9.0,0.24481327800829875,0.3246753246753247,598265,565.0,474,1.1919831223628692,BOS
98,bradlja02,2018,BOS,144,474,76,111,59.0,46,11.0,0.23417721518987342,0.3163841807909605,598265,590.0,501,1.1776447105788423,BOS
99,brantmi02,2015,CLE,137,529,68,164,84.0,60,2.0,0.31001890359168244,0.3824027072758037,488726,735.0,520,1.4134615384615385,CLE
100,brantmi02,2017,CLE,90,338,47,101,52.0,31,2.0,0.2988165680473373,0.3611859838274933,488726,461.0,344,1.3401162790697674,CLE
101,brantmi02,2018,CLE,143,570,89,176,76.0,48,5.0,0.3087719298245614,0.36757624398073835,488726,771.0,561,1.374331550802139,CLE
102,braunry02,2015,MIL,140,506,87,144,84.0,54,4.0,0.2845849802371542,0.35815602836879434,460075,687.0,501,1.3712574850299402,MIL
103,braunry02,2016,MIL,135,511,80,156,91.0,46,4.0,0.30528375733855184,0.3672014260249554,460075,722.0,503,1.4353876739562623,MIL
104,braunry02,2017,MIL,104,380,58,102,52.0,38,3.0,0.26842105263157895,0.33966745843230406,460075,438.0,378,1.1587301587301588,MIL
105,braunry02,2018,MIL,125,405,59,103,64.0,34,2.0,0.254320987654321,0.31519274376417233,460075,524.0,439,1.193621867881549,MIL
106,bruceja01,2015,CIN,157,580,72,131,87.0,58,2.0,0.22586206896551725,0.2984375,457803,561.0,564,0.9946808510638298,CIN
107,bruceja01,2016,CIN,97,370,60,98,80.0,27,2.0,0.2648648648648649,0.3182957393483709,457803,641.0,526,1.2186311787072244,NYM
108,bruceja01,2016,CIN,97,370,60,98,80.0,27,2.0,0.2648648648648649,0.3182957393483709,457803,641.0,526,1.2186311787072244,CIN
109,bruceja01,2017,NYN,103,406,61,104,75.0,39,1.0,0.2561576354679803,0.32286995515695066,457803,644.0,561,1.1479500891265597,CLE
110,bruceja01,2017,NYN,103,406,61,104,75.0,39,1.0,0.2561576354679803,0.32286995515695066,457803,644.0,561,1.1479500891265597,NYM
111,bruceja01,2018,NYN,94,319,31,71,37.0,41,0.0,0.2225705329153605,0.3111111111111111,457803,332.0,309,1.0744336569579287,NYM
112,bryankr01,2015,CHN,151,559,87,154,99.0,77,9.0,0.27549194991055453,0.37209302325581395,592178,721.0,577,1.2495667244367417,CHC
113,bryankr01,2016,CHN,155,603,121,176,102.0,75,18.0,0.29187396351575456,0.3864942528735632,592178,852.0,650,1.3107692307692307,CHC
114,bryankr01,2017,CHN,151,549,111,162,73.0,95,15.0,0.29508196721311475,0.41274658573596357,592178,704.0,583,1.2075471698113207,CHC
115,bryankr01,2018,CHN,102,389,59,106,52.0,48,17.0,0.27249357326478146,0.3766519823788546,592178,481.0,376,1.2792553191489362,CHC
116,burnsbi02,2015,OAK,125,520,70,153,42.0,26,6.0,0.29423076923076924,0.3351449275362319,542993,646.0,510,1.2666666666666666,OAK
117,burnsbi02,2016,OAK,73,274,32,64,12.0,10,4.0,0.23357664233576642,0.2708333333333333,542993,360.0,309,1.1650485436893203,KC
118,burnsbi02,2016,OAK,73,274,32,64,12.0,10,4.0,0.23357664233576642,0.2708333333333333,542993,360.0,309,1.1650485436893203,OAK
119,butlebi03,2015,OAK,151,538,63,135,65.0,52,7.0,0.25092936802973975,0.3249581239530988,456714,664.0,530,1.2528301886792452,OAK
120,butlebi03,2016,OAK,85,221,24,61,31.0,19,0.0,0.27601809954751133,0.3333333333333333,456714,342.0,247,1.3846153846153846,NYY
121,butlebi03,2016,OAK,85,221,24,61,31.0,19,0.0,0.27601809954751133,0.3333333333333333,456714,342.0,247,1.3846153846153846,OAK
122,butlejo04,2015,TBA,88,257,30,71,30.0,16,3.0,0.27626459143968873,0.32608695652173914,542994,305.0,251,1.2151394422310757,TB
123,byrdma01,2015,CIN,96,359,46,85,42.0,23,3.0,0.23676880222841226,0.2883116883116883,407781,573.0,490,1.1693877551020408,SF
124,byrdma01,2015,CIN,96,359,46,85,42.0,23,3.0,0.23676880222841226,0.2883116883116883,407781,573.0,490,1.1693877551020408,CIN
125,cabreas01,2015,TBA,143,505,66,134,58.0,36,3.0,0.26534653465346536,0.3180147058823529,452678,690.0,496,1.3911290322580645,TB
126,cabreas01,2016,NYN,141,521,65,146,62.0,38,7.0,0.2802303262955854,0.3374558303886926,452678,618.0,518,1.193050193050193,NYM
127,cabreas01,2017,NYN,135,479,66,134,59.0,50,5.0,0.2797494780793319,0.3539325842696629,452678,600.0,470,1.2765957446808511,NYM
128,cabreas01,2018,NYN,98,375,48,104,58.0,29,1.0,0.2773333333333333,0.3308641975308642,452678,630.0,533,1.1819887429643527,PHI
129,cabreas01,2018,NYN,98,375,48,104,58.0,29,1.0,0.2773333333333333,0.3308641975308642,452678,630.0,533,1.1819887429643527,NYM
